,Round,Day,Date,Time,Venue,Result,GF,GA,Opponent,Attendance,Captain,Formation,Referee,event_id,Manager,League Position ,squadnumber,team_name,player_name,player_id,rating,minutes_played,shotstotal,shotson,offsides,gconceded,gassists,gtotal,ptotal,pkey,paccuracy,ttotal,tblocks,tinterc,dtotal,dwon,dattempts,dsuccess,dpast,fdrawn,fcommit,red,yellow,penaltysuccess,Game,Player Position
0,Matchweek 2,Sat,10/08/2019,15:00 (00:00),Away,D,1,1,Ipswich Town,"24,051",Aiden McGeady,4_3_3,Neil Hair,167939,JR,14,5,Sunderland,Alim Ozturk,19896.00,6.80,10.00,0.00,0.00,,0.00,0.00,0.00,4.00,0.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Ipswich Town 10/08/2019,DF
1,Matchweek 3,Sat,17/08/2019,12:30 (21:30),Home,W,2,1,Portsmouth,"29,140",Grant Leadbitter,4_2_3_1,Michael Salisbury,167955,JR,9,5,Sunderland,Alim Ozturk,19896.00,6.70,90.00,0.00,0.00,,0.00,0.00,0.00,19.00,0.00,61.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,2.00,0.00,0.00,0.00,Portsmouth 17/08/2019,DF
2,Matchweek 4,Tue,20/08/2019,19:45 (04:45),Away,W,2,1,Rochdale,"5,258",Grant Leadbitter,4_2_3_1,John Busby,167966,JR,6,5,Sunderland,Alim Ozturk,19896.00,6.60,90.00,1.00,0.00,,0.00,0.00,0.00,20.00,0.00,60.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.00,1.00,0.00,0.00,0.00,Rochdale 20/08/2019,DF
3,Matchweek 5,Sat,24/08/2019,15:00 (00:00),Home,W,3,1,AFC Wimbledon,"29,725",Grant Leadbitter,4_2_3_1,Anthony Backhouse,167979,JR,4,5,Sunderland,Alim Ozturk,19896.00,6.90,90.00,0.00,0.00,,0.00,0.00,0.00,50.00,0.00,89.00,0.00,0.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,AFC Wimbledon 24/08/2019,DF
4,Matchweek 6,Sat,31/08/2019,15:00 (00:00),Away,L,0,3,P'borough Utd,"10,005",Grant Leadbitter,4_2_3_1,Craig Hicks,167991,JR,6,5,Sunderland,Alim Ozturk,19896.00,6.50,90.00,0.00,0.00,,0.00,0.00,0.00,29.00,0.00,72.00,0.00,0.00,1.00,0.00,0.00,1.00,1.00,0.00,1.00,1.00,0.00,0.00,0.00,P'borough Utd 31/08/2019,DF
5,Matchweek 8,Sat,14/09/2019,15:00 (00:00),Away,W,3,1,Acc'ton Stanley,"4,164",Grant Leadbitter,4_2_3_1,Lee Swabey,168007,JR,6,5,Sunderland,Alim Ozturk,19896.00,6.20,90.00,0.00,0.00,,0.00,0.00,0.00,20.00,0.00,55.00,0.00,0.00,1.00,0.00,0.00,1.00,1.00,0.00,0.00,2.00,0.00,0.00,0.00,Acc'ton Stanley 14/09/2019,DF
6,Matchweek 9,Tue,17/09/2019,19:45 (04:45),Home,D,1,1,Rotherham Utd,"29,078",Aiden McGeady,4_2_3_1,Ben Toner,168026,JR,5,5,Sunderland,Alim Ozturk,19896.00,7.00,90.00,0.00,0.00,,0.00,1.00,0.00,11.00,1.00,44.00,1.00,0.00,3.00,0.00,0.00,0.00,0.00,0.00,2.00,1.00,0.00,0.00,0.00,Rotherham Utd 17/09/2019,DF
7,Matchweek 10,Sat,21/09/2019,15:00 (00:00),Away,D,1,1,Bolton,"12,026",Grant Leadbitter,4_2_3_1,Oliver Yates,168032,JR,5,,Sunderland,Alim Ozturk,19896.00,,,,,,,,,,,,,,,,,,,,,,,,,Bolton 21/09/2019,DF
8,Matchweek 11,Sat,28/09/2019,15:00 (00:00),Home,W,2,1,MK Dons,"29,954",Jordan Willis,4_2_3_1,Paul Marsden,168053,JR,5,,Sunderland,Alim Ozturk,19896.00,,,,,,,,,,,,,,,,,,,,,,,,,MK Dons 28/09/2019,DF
9,Matchweek 12,Sat,05/10/2019,15:00 (00:00),Away,L,0,2,Lincoln City,"10,264",Jordan Willis,4_2_3_1,Brett Huxtable,168061,JR,6,,Sunderland,Alim Ozturk,19896.00,,,,,,,,,,,,,,,,,,,,,,,,,Lincoln City 05/10/2019,DF
10,Matchweek 20,Sat,07/12/2019,15:00 (02:00),Away,L,0,1,Gillingham,"5,401",Grant Leadbitter,3_4_1_2,Andy Woolmer,168157,PP,12,5,Sunderland,Alim Ozturk,19896.00,6.90,90.00,0.00,0.00,,0.00,0.00,0.00,27.00,0.00,84.00,2.00,0.00,1.00,0.00,0.00,0.00,0.00,1.00,1.00,1.00,0.00,1.00,0.00,Gillingham 07/12/2019,DF
11,Matchweek 28,Sat,18/01/2020,15:00 (02:00),Away,W,1,0,MK Dons,"13,327",Max Power,3_4_3,Ben Toner,168254,PP,6,5,Sunderland,Alim Ozturk,19896.00,6.80,90.00,2.00,0.00,,0.00,0.00,0.00,24.00,2.00,72.00,1.00,1.00,3.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,1.00,0.00,MK Dons 18/01/2020,DF
12,Matchweek 13,Tue,25/02/2020,19:45 (06:45),Home,D,1,1,Fleetwood Town,"28,255",Max Power,3_4_3,Scott Oldham,168077,PP,7,5,Sunderland,Alim Ozturk,19896.00,7.00,90.00,0.00,0.00,,0.00,0.00,0.00,63.00,0.00,90.00,1.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,1.00,0.00,Fleetwood Town 25/02/2020,DF
13,Matchweek 35,Sat,22/02/2020,15:00 (02:00),Home,W,3,0,Bristol Rovers,"31,541",Max Power,3_4_3,Ben Toner,168340,PP,5,5,Sunderland,Alim Ozturk,19896.00,7.30,90.00,0.00,0.00,,0.00,0.00,0.00,46.00,0.00,79.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,1.00,0.00,Bristol Rovers 22/02/2020,DF
14,Matchweek 34,Sat,15/02/2020,15:00 (02:00),Away,W,1,0,Oxford United,"9,105",Max Power,3_4_3,Kevin Johnson,168325,PP,7,5,Sunderland,Alim Ozturk,19896.00,6.50,12.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Oxford United 15/02/2020,DF
15,Matchweek 14,Sat,19/10/2019,15:00 (01:00),Away,L,0,1,Wycombe,"8,395",Grant Leadbitter,4_2_3_1,Kevin Johnson,168089,PP,9,,Sunderland,Alim Ozturk,19896.00,,,,,,,,,,,,,,,,,,,,,,,,,Wycombe 19/10/2019,DF
16,Matchweek 15,Tue,22/10/2019,19:45 (05:45),Home,W,5,0,Tranmere Rovers,"28,551",Max Power,4_2_3_1,Carl Boyeson,168100,PP,6,,Sunderland,Alim Ozturk,19896.00,,,,,,,,,,,,,,,,,,,,,,,,,Tranmere Rovers 22/10/2019,DF
17,Matchweek 16,Sat,26/10/2019,15:00 (01:00),Away,L,0,1,Shrewsbury,"8,117",Max Power,4_2_3_1,Jarred Gillett,168111,PP,10,,Sunderland,Alim Ozturk,19896.00,,,,,,,,,,,,,,,,,,,,,,,,,Shrewsbury 26/10/2019,DF
18,Matchweek 17,Sat,02/11/2019,15:00 (02:00),Home,W,1,0,Southend United,"30,407",Max Power,4_2_3_1,Trevor Kettle,168124,PP,7,,Sunderland,Alim Ozturk,19896.00,,,,,,,,,,,,,,,,,,,,,,,,,Southend United 02/11/2019,DF
19,Matchweek 19,Sat,23/11/2019,15:00 (02:00),Home,D,1,1,Coventry City,"29,809",Grant Leadbitter,4_3_3,Scott Oldham,168148,PP,12,,Sunderland,Alim Ozturk,19896.00,,,,,,,,,,,,,,,,,,,,,,,,,Coventry City 23/11/2019,DF
20,Matchweek 7,Tue,26/11/2019,19:45 (06:45),Home,L,1,2,Burton Albion,"26,538",Grant Leadbitter,4_2_3_1,Rob Lewis,168003,PP,10,,Sunderland,Alim Ozturk,19896.00,,,,,,,,,,,,,,,,,,,,,,,,,Burton Albion 26/11/2019,DF
21,Matchweek 21,Sat,14/12/2019,15:00 (02:00),Home,D,1,1,Blackpool,"30,595",Max Power,3_4_3,Oliver Yates,168172,PP,12,5,Sunderland,Alim Ozturk,19896.00,7.20,90.00,0.00,0.00,,0.00,0.00,0.00,46.00,0.00,88.00,2.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Blackpool 14/12/2019,DF
22,Matchweek 23,Thu,26/12/2019,15:00 (02:00),Home,D,0,0,Bolton,"33,821",Grant Leadbitter,3_4_3,Ross Joyce,168197,PP,15,5,Sunderland,Alim Ozturk,19896.00,6.70,90.00,0.00,0.00,,0.00,0.00,0.00,33.00,0.00,67.00,1.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,Bolton 26/12/2019,DF
23,Matchweek 25,Wed,01/01/2020,15:00 (02:00),Away,D,1,1,Fleetwood Town,"4,011",Max Power,3_4_3,Anthony Backhouse,168215,PP,15,5,Sunderland,Alim Ozturk,19896.00,6.80,90.00,0.00,0.00,,0.00,0.00,0.00,40.00,0.00,83.00,2.00,1.00,1.00,0.00,0.00,0.00,0.00,1.00,0.00,1.00,0.00,0.00,0.00,Fleetwood Town 01/01/2020,DF
24,Matchweek 24,Sun,29/12/2019,15:00 (02:00),Away,W,2,1,Doncaster,"12,432",Max Power,3_4_3,Carl Boyeson,168202,PP,13,5,Sunderland,Alim Ozturk,19896.00,6.90,90.00,0.00,0.00,,0.00,0.00,0.00,14.00,1.00,66.00,1.00,0.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,1.00,0.00,Doncaster 29/12/2019,DF
25,Matchweek 26,Sat,04/01/2020,15:00 (02:00),Home,W,3,1,Lincoln City,"31,748",Max Power,3_4_3,Leigh Doughty,168233,PP,13,5,Sunderland,Alim Ozturk,19896.00,6.90,90.00,0.00,0.00,,0.00,0.00,0.00,39.00,0.00,84.00,1.00,0.00,2.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,0.00,0.00,0.00,Lincoln City 04/01/2020,DF
26,Matchweek 27,Sat,11/01/2020,15:00 (02:00),Home,W,4,0,Wycombe,"29,331",Max Power,3_4_3,Andrew Davies,168245,PP,10,5,Sunderland,Alim Ozturk,19896.00,7.40,90.00,0.00,0.00,,0.00,0.00,0.00,22.00,1.00,78.00,1.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,Wycombe 11/01/2020,DF
27,Matchweek 29,Fri,24/01/2020,19:45 (06:45),Home,D,0,0,Doncaster,"30,251",Max Power,3_4_3,James Adcock,168269,PP,8,5,Sunderland,Alim Ozturk,19896.00,7.30,90.00,0.00,0.00,,0.00,0.00,0.00,34.00,0.00,91.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,1.00,1.00,1.00,0.00,1.00,0.00,Doncaster 24/01/2020,DF
28,Matchweek 30,Wed,29/01/2020,19:45 (06:45),Away,W,1,0,Tranmere Rovers,"6,850",Max Power,3_4_3,Anthony Coggins,168279,PP,7,,Sunderland,Alim Ozturk,19896.00,,,,,,,,,,,,,,,,,,,,,,,,,Tranmere Rovers 29/01/2020,DF
29,Matchweek 31,Sat,01/02/2020,15:00 (02:00),Away,L,0,2,Portsmouth,"18,531",Max Power,3_4_3,Chris Sarginson,168290,PP,9,,Sunderland,Alim Ozturk,19896.00,,,,,,,,,,,,,,,,,,,,,,,,,Portsmouth 01/02/2020,DF
30,Matchweek 32,Sat,08/02/2020,15:00 (02:00),Home,W,1,0,Ipswich Town,"32,726",Max Power,3_4_3,Jeremy Simpson,168303,PP,8,,Sunderland,Alim Ozturk,19896.00,,,,,,,,,,,,,,,,,,,,,,,,,Ipswich Town 08/02/2020,DF
31,Matchweek 33,Tue,11/02/2020,19:45 (06:45),Home,W,3,0,Rochdale,"27,401",Max Power,3_4_3,Graham Salisbury,168315,PP,7,,Sunderland,Alim Ozturk,19896.00,,,,,,,,,,,,,,,,,,,,,,,,,Rochdale 11/02/2020,DF
32,Matchweek 2,Sat,10/08/2019,15:00 (00:00),Away,D,1,1,Ipswich Town,"24,051",Aiden McGeady,4_3_3,Neil Hair,167939,JR,14,,Sunderland,Antoine Semenyo,19281.00,,,,,,,,,,,,,,,,,,,,,,,,,Ipswich Town 10/08/2019,ATT
33,Matchweek 3,Sat,17/08/2019,12:30 (21:30),Home,W,2,1,Portsmouth,"29,140",Grant Leadbitter,4_2_3_1,Michael Salisbury,167955,JR,9,,Sunderland,Antoine Semenyo,19281.00,,,,,,,,,,,,,,,,,,,,,,,,,Portsmouth 17/08/2019,ATT
34,Matchweek 4,Tue,20/08/2019,19:45 (04:45),Away,W,2,1,Rochdale,"5,258",Grant Leadbitter,4_2_3_1,John Busby,167966,JR,6,,Sunderland,Antoine Semenyo,19281.00,,,,,,,,,,,,,,,,,,,,,,,,,Rochdale 20/08/2019,ATT
35,Matchweek 5,Sat,24/08/2019,15:00 (00:00),Home,W,3,1,AFC Wimbledon,"29,725",Grant Leadbitter,4_2_3_1,Anthony Backhouse,167979,JR,4,,Sunderland,Antoine Semenyo,19281.00,,,,,,,,,,,,,,,,,,,,,,,,,AFC Wimbledon 24/08/2019,ATT
36,Matchweek 6,Sat,31/08/2019,15:00 (00:00),Away,L,0,3,P'borough Utd,"10,005",Grant Leadbitter,4_2_3_1,Craig Hicks,167991,JR,6,,Sunderland,Antoine Semenyo,19281.00,,,,,,,,,,,,,,,,,,,,,,,,,P'borough Utd 31/08/2019,ATT
37,Matchweek 8,Sat,14/09/2019,15:00 (00:00),Away,W,3,1,Acc'ton Stanley,"4,164",Grant Leadbitter,4_2_3_1,Lee Swabey,168007,JR,6,,Sunderland,Antoine Semenyo,19281.00,,,,,,,,,,,,,,,,,,,,,,,,,Acc'ton Stanley 14/09/2019,ATT
38,Matchweek 9,Tue,17/09/2019,19:45 (04:45),Home,D,1,1,Rotherham Utd,"29,078",Aiden McGeady,4_2_3_1,Ben Toner,168026,JR,5,,Sunderland,Antoine Semenyo,19281.00,,,,,,,,,,,,,,,,,,,,,,,,,Rotherham Utd 17/09/2019,ATT
39,Matchweek 10,Sat,21/09/2019,15:00 (00:00),Away,D,1,1,Bolton,"12,026",Grant Leadbitter,4_2_3_1,Oliver Yates,168032,JR,5,,Sunderland,Antoine Semenyo,19281.00,,,,,,,,,,,,,,,,,,,,,,,,,Bolton 21/09/2019,ATT
40,Matchweek 11,Sat,28/09/2019,15:00 (00:00),Home,W,2,1,MK Dons,"29,954",Jordan Willis,4_2_3_1,Paul Marsden,168053,JR,5,,Sunderland,Antoine Semenyo,19281.00,,,,,,,,,,,,,,,,,,,,,,,,,MK Dons 28/09/2019,ATT
41,Matchweek 12,Sat,05/10/2019,15:00 (00:00),Away,L,0,2,Lincoln City,"10,264",Jordan Willis,4_2_3_1,Brett Huxtable,168061,JR,6,,Sunderland,Antoine Semenyo,19281.00,,,,,,,,,,,,,,,,,,,,,,,,,Lincoln City 05/10/2019,ATT
42,Matchweek 20,Sat,07/12/2019,15:00 (02:00),Away,L,0,1,Gillingham,"5,401",Grant Leadbitter,3_4_1_2,Andy Woolmer,168157,PP,12,,Sunderland,Antoine Semenyo,19281.00,,,,,,,,,,,,,,,,,,,,,,,,,Gillingham 07/12/2019,ATT
43,Matchweek 28,Sat,18/01/2020,15:00 (02:00),Away,W,1,0,MK Dons,"13,327",Max Power,3_4_3,Ben Toner,168254,PP,6,,Sunderland,Antoine Semenyo,19281.00,,,,,,,,,,,,,,,,,,,,,,,,,MK Dons 18/01/2020,ATT
44,Matchweek 13,Tue,25/02/2020,19:45 (06:45),Home,D,1,1,Fleetwood Town,"28,255",Max Power,3_4_3,Scott Oldham,168077,PP,7,42,Sunderland,Antoine Semenyo,19281.00,6.60,25.00,1.00,0.00,,0.00,0.00,0.00,6.00,0.00,85.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Fleetwood Town 25/02/2020,ATT
45,Matchweek 35,Sat,22/02/2020,15:00 (02:00),Home,W,3,0,Bristol Rovers,"31,541",Max Power,3_4_3,Ben Toner,168340,PP,5,42,Sunderland,Antoine Semenyo,19281.00,7.20,9.00,0.00,0.00,,0.00,0.00,0.00,2.00,1.00,100.00,1.00,0.00,0.00,0.00,0.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,Bristol Rovers 22/02/2020,ATT
46,Matchweek 34,Sat,15/02/2020,15:00 (02:00),Away,W,1,0,Oxford United,"9,105",Max Power,3_4_3,Kevin Johnson,168325,PP,7,,Sunderland,Antoine Semenyo,19281.00,,,,,,,,,,,,,,,,,,,,,,,,,Oxford United 15/02/2020,ATT
47,Matchweek 14,Sat,19/10/2019,15:00 (01:00),Away,L,0,1,Wycombe,"8,395",Grant Leadbitter,4_2_3_1,Kevin Johnson,168089,PP,9,,Sunderland,Antoine Semenyo,19281.00,,,,,,,,,,,,,,,,,,,,,,,,,Wycombe 19/10/2019,ATT
48,Matchweek 15,Tue,22/10/2019,19:45 (05:45),Home,W,5,0,Tranmere Rovers,"28,551",Max Power,4_2_3_1,Carl Boyeson,168100,PP,6,,Sunderland,Antoine Semenyo,19281.00,,,,,,,,,,,,,,,,,,,,,,,,,Tranmere Rovers 22/10/2019,ATT
49,Matchweek 16,Sat,26/10/2019,15:00 (01:00),Away,L,0,1,Shrewsbury,"8,117",Max Power,4_2_3_1,Jarred Gillett,168111,PP,10,,Sunderland,Antoine Semenyo,19281.00,,,,,,,,,,,,,,,,,,,,,,,,,Shrewsbury 26/10/2019,ATT
50,Matchweek 17,Sat,02/11/2019,15:00 (02:00),Home,W,1,0,Southend United,"30,407",Max Power,4_2_3_1,Trevor Kettle,168124,PP,7,,Sunderland,Antoine Semenyo,19281.00,,,,,,,,,,,,,,,,,,,,,,,,,Southend United 02/11/2019,ATT
51,Matchweek 19,Sat,23/11/2019,15:00 (02:00),Home,D,1,1,Coventry City,"29,809",Grant Leadbitter,4_3_3,Scott Oldham,168148,PP,12,,Sunderland,Antoine Semenyo,19281.00,,,,,,,,,,,,,,,,,,,,,,,,,Coventry City 23/11/2019,ATT
52,Matchweek 7,Tue,26/11/2019,19:45 (06:45),Home,L,1,2,Burton Albion,"26,538",Grant Leadbitter,4_2_3_1,Rob Lewis,168003,PP,10,,Sunderland,Antoine Semenyo,19281.00,,,,,,,,,,,,,,,,,,,,,,,,,Burton Albion 26/11/2019,ATT
53,Matchweek 21,Sat,14/12/2019,15:00 (02:00),Home,D,1,1,Blackpool,"30,595",Max Power,3_4_3,Oliver Yates,168172,PP,12,,Sunderland,Antoine Semenyo,19281.00,,,,,,,,,,,,,,,,,,,,,,,,,Blackpool 14/12/2019,ATT
54,Matchweek 23,Thu,26/12/2019,15:00 (02:00),Home,D,0,0,Bolton,"33,821",Grant Leadbitter,3_4_3,Ross Joyce,168197,PP,15,,Sunderland,Antoine Semenyo,19281.00,,,,,,,,,,,,,,,,,,,,,,,,,Bolton 26/12/2019,ATT
55,Matchweek 25,Wed,01/01/2020,15:00 (02:00),Away,D,1,1,Fleetwood Town,"4,011",Max Power,3_4_3,Anthony Backhouse,168215,PP,15,,Sunderland,Antoine Semenyo,19281.00,,,,,,,,,,,,,,,,,,,,,,,,,Fleetwood Town 01/01/2020,ATT
56,Matchweek 24,Sun,29/12/2019,15:00 (02:00),Away,W,2,1,Doncaster,"12,432",Max Power,3_4_3,Carl Boyeson,168202,PP,13,,Sunderland,Antoine Semenyo,19281.00,,,,,,,,,,,,,,,,,,,,,,,,,Doncaster 29/12/2019,ATT
57,Matchweek 26,Sat,04/01/2020,15:00 (02:00),Home,W,3,1,Lincoln City,"31,748",Max Power,3_4_3,Leigh Doughty,168233,PP,13,,Sunderland,Antoine Semenyo,19281.00,,,,,,,,,,,,,,,,,,,,,,,,,Lincoln City 04/01/2020,ATT
58,Matchweek 27,Sat,11/01/2020,15:00 (02:00),Home,W,4,0,Wycombe,"29,331",Max Power,3_4_3,Andrew Davies,168245,PP,10,,Sunderland,Antoine Semenyo,19281.00,,,,,,,,,,,,,,,,,,,,,,,,,Wycombe 11/01/2020,ATT
59,Matchweek 29,Fri,24/01/2020,19:45 (06:45),Home,D,0,0,Doncaster,"30,251",Max Power,3_4_3,James Adcock,168269,PP,8,,Sunderland,Antoine Semenyo,19281.00,,,,,,,,,,,,,,,,,,,,,,,,,Doncaster 24/01/2020,ATT
60,Matchweek 30,Wed,29/01/2020,19:45 (06:45),Away,W,1,0,Tranmere Rovers,"6,850",Max Power,3_4_3,Anthony Coggins,168279,PP,7,,Sunderland,Antoine Semenyo,19281.00,,,,,,,,,,,,,,,,,,,,,,,,,Tranmere Rovers 29/01/2020,ATT
61,Matchweek 31,Sat,01/02/2020,15:00 (02:00),Away,L,0,2,Portsmouth,"18,531",Max Power,3_4_3,Chris Sarginson,168290,PP,9,42,Sunderland,Antoine Semenyo,19281.00,6.10,21.00,0.00,0.00,,0.00,0.00,0.00,1.00,1.00,100.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,1.00,0.00,1.00,0.00,1.00,0.00,Portsmouth 01/02/2020,ATT
62,Matchweek 32,Sat,08/02/2020,15:00 (02:00),Home,W,1,0,Ipswich Town,"32,726",Max Power,3_4_3,Jeremy Simpson,168303,PP,8,,Sunderland,Antoine Semenyo,19281.00,,,,,,,,,,,,,,,,,,,,,,,,,Ipswich Town 08/02/2020,ATT
63,Matchweek 33,Tue,11/02/2020,19:45 (06:45),Home,W,3,0,Rochdale,"27,401",Max Power,3_4_3,Graham Salisbury,168315,PP,7,42,Sunderland,Antoine Semenyo,19281.00,6.40,18.00,0.00,0.00,,0.00,0.00,0.00,6.00,0.00,75.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,1.00,0.00,0.00,0.00,Rochdale 11/02/2020,ATT
64,Matchweek 2,Sat,10/08/2019,15:00 (00:00),Away,D,1,1,Ipswich Town,"24,051",Aiden McGeady,4_3_3,Neil Hair,167939,JR,14,,Sunderland,Bailey Wright,19266.00,,,,,,,,,,,,,,,,,,,,,,,,,Ipswich Town 10/08/2019,DF
65,Matchweek 3,Sat,17/08/2019,12:30 (21:30),Home,W,2,1,Portsmouth,"29,140",Grant Leadbitter,4_2_3_1,Michael Salisbury,167955,JR,9,,Sunderland,Bailey Wright,19266.00,,,,,,,,,,,,,,,,,,,,,,,,,Portsmouth 17/08/2019,DF
66,Matchweek 4,Tue,20/08/2019,19:45 (04:45),Away,W,2,1,Rochdale,"5,258",Grant Leadbitter,4_2_3_1,John Busby,167966,JR,6,,Sunderland,Bailey Wright,19266.00,,,,,,,,,,,,,,,,,,,,,,,,,Rochdale 20/08/2019,DF
67,Matchweek 5,Sat,24/08/2019,15:00 (00:00),Home,W,3,1,AFC Wimbledon,"29,725",Grant Leadbitter,4_2_3_1,Anthony Backhouse,167979,JR,4,,Sunderland,Bailey Wright,19266.00,,,,,,,,,,,,,,,,,,,,,,,,,AFC Wimbledon 24/08/2019,DF
68,Matchweek 6,Sat,31/08/2019,15:00 (00:00),Away,L,0,3,P'borough Utd,"10,005",Grant Leadbitter,4_2_3_1,Craig Hicks,167991,JR,6,,Sunderland,Bailey Wright,19266.00,,,,,,,,,,,,,,,,,,,,,,,,,P'borough Utd 31/08/2019,DF
69,Matchweek 8,Sat,14/09/2019,15:00 (00:00),Away,W,3,1,Acc'ton Stanley,"4,164",Grant Leadbitter,4_2_3_1,Lee Swabey,168007,JR,6,,Sunderland,Bailey Wright,19266.00,,,,,,,,,,,,,,,,,,,,,,,,,Acc'ton Stanley 14/09/2019,DF
70,Matchweek 9,Tue,17/09/2019,19:45 (04:45),Home,D,1,1,Rotherham Utd,"29,078",Aiden McGeady,4_2_3_1,Ben Toner,168026,JR,5,,Sunderland,Bailey Wright,19266.00,,,,,,,,,,,,,,,,,,,,,,,,,Rotherham Utd 17/09/2019,DF
71,Matchweek 10,Sat,21/09/2019,15:00 (00:00),Away,D,1,1,Bolton,"12,026",Grant Leadbitter,4_2_3_1,Oliver Yates,168032,JR,5,,Sunderland,Bailey Wright,19266.00,,,,,,,,,,,,,,,,,,,,,,,,,Bolton 21/09/2019,DF
72,Matchweek 11,Sat,28/09/2019,15:00 (00:00),Home,W,2,1,MK Dons,"29,954",Jordan Willis,4_2_3_1,Paul Marsden,168053,JR,5,,Sunderland,Bailey Wright,19266.00,,,,,,,,,,,,,,,,,,,,,,,,,MK Dons 28/09/2019,DF
73,Matchweek 12,Sat,05/10/2019,15:00 (00:00),Away,L,0,2,Lincoln City,"10,264",Jordan Willis,4_2_3_1,Brett Huxtable,168061,JR,6,,Sunderland,Bailey Wright,19266.00,,,,,,,,,,,,,,,,,,,,,,,,,Lincoln City 05/10/2019,DF
74,Matchweek 20,Sat,07/12/2019,15:00 (02:00),Away,L,0,1,Gillingham,"5,401",Grant Leadbitter,3_4_1_2,Andy Woolmer,168157,PP,12,,Sunderland,Bailey Wright,19266.00,,,,,,,,,,,,,,,,,,,,,,,,,Gillingham 07/12/2019,DF
75,Matchweek 28,Sat,18/01/2020,15:00 (02:00),Away,W,1,0,MK Dons,"13,327",Max Power,3_4_3,Ben Toner,168254,PP,6,,Sunderland,Bailey Wright,19266.00,,,,,,,,,,,,,,,,,,,,,,,,,MK Dons 18/01/2020,DF
76,Matchweek 13,Tue,25/02/2020,19:45 (06:45),Home,D,1,1,Fleetwood Town,"28,255",Max Power,3_4_3,Scott Oldham,168077,PP,7,,Sunderland,Bailey Wright,19266.00,,,,,,,,,,,,,,,,,,,,,,,,,Fleetwood Town 25/02/2020,DF
77,Matchweek 35,Sat,22/02/2020,15:00 (02:00),Home,W,3,0,Bristol Rovers,"31,541",Max Power,3_4_3,Ben Toner,168340,PP,5,,Sunderland,Bailey Wright,19266.00,,,,,,,,,,,,,,,,,,,,,,,,,Bristol Rovers 22/02/2020,DF
78,Matchweek 34,Sat,15/02/2020,15:00 (02:00),Away,W,1,0,Oxford United,"9,105",Max Power,3_4_3,Kevin Johnson,168325,PP,7,26,Sunderland,Bailey Wright,19266.00,6.90,84.00,0.00,0.00,,0.00,0.00,0.00,18.00,0.00,66.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,Oxford United 15/02/2020,DF
79,Matchweek 14,Sat,19/10/2019,15:00 (01:00),Away,L,0,1,Wycombe,"8,395",Grant Leadbitter,4_2_3_1,Kevin Johnson,168089,PP,9,,Sunderland,Bailey Wright,19266.00,,,,,,,,,,,,,,,,,,,,,,,,,Wycombe 19/10/2019,DF
80,Matchweek 15,Tue,22/10/2019,19:45 (05:45),Home,W,5,0,Tranmere Rovers,"28,551",Max Power,4_2_3_1,Carl Boyeson,168100,PP,6,,Sunderland,Bailey Wright,19266.00,,,,,,,,,,,,,,,,,,,,,,,,,Tranmere Rovers 22/10/2019,DF
81,Matchweek 16,Sat,26/10/2019,15:00 (01:00),Away,L,0,1,Shrewsbury,"8,117",Max Power,4_2_3_1,Jarred Gillett,168111,PP,10,,Sunderland,Bailey Wright,19266.00,,,,,,,,,,,,,,,,,,,,,,,,,Shrewsbury 26/10/2019,DF
82,Matchweek 17,Sat,02/11/2019,15:00 (02:00),Home,W,1,0,Southend United,"30,407",Max Power,4_2_3_1,Trevor Kettle,168124,PP,7,,Sunderland,Bailey Wright,19266.00,,,,,,,,,,,,,,,,,,,,,,,,,Southend United 02/11/2019,DF
